,Country/Region,Population,Total Cases,Total Deaths,% of Population With Covid,% of Cases that Result in Death,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,WHO Region,Test Rate,Country Test Rate,country_flag
164,Myanmar,54446389,357,6.0,0.001%,1.681%,7,0.1,122290.0,2246.0,South-EastAsia,0.0022460626360363404,0.0022460626360363404,Lower Test Rate
165,Mauritius,1271985,344,10.0,0.027%,2.907%,270,8.0,205285.0,161389.0,Africa,0.16138948179420354,0.16138948179420354,High Test Rate
166,Isle of Man,85078,336,24.0,0.395%,7.143%,3949,282.0,8627.0,101401.0,Europe,0.10140106725592986,0.10140106725592986,High Test Rate
167,Mongolia,3283344,293,,0.009%,0.000%,89,,38334.0,11675.0,WesternPacific,0.011675292019355877,0.011675292019355877,Lower Test Rate
168,Eritrea,3551175,282,,0.008%,0.000%,79,,,,Africa,,,
169,Guadeloupe,400131,279,14.0,0.070%,5.018%,697,35.0,18476.0,46175.0,Americas,0.04617487772754423,0.04617487772754423,Medium Test Rate
170,Martinique,375235,276,15.0,0.074%,5.435%,736,40.0,12227.0,32585.0,Americas,0.032584913454235344,0.032584913454235344,Medium Test Rate
171,Faeroe Islands,48882,266,,0.544%,0.000%,5442,,43045.0,880590.0,Europe,0.8805899922261773,0.8805899922261773,High Test Rate
172,Aruba,106812,263,3.0,0.246%,1.141%,2462,28.0,14047.0,131511.0,Americas,0.13151144066209788,0.13151144066209788,High Test Rate
173,Cambodia,16741375,243,,0.001%,0.000%,15,,67807.0,4050.0,WesternPacific,0.004050264688533648,0.004050264688533648,Lower Test Rate
174,Trinidad and Tobago,1399950,210,8.0,0.015%,3.810%,150,6.0,9559.0,6828.0,Americas,0.006828101003607272,0.006828101003607272,Lower Test Rate
175,Cayman Islands,65798,203,1.0,0.309%,0.493%,3085,15.0,31108.0,472780.0,Americas,0.47278032766953404,0.47278032766953404,High Test Rate
176,Gibraltar,33690,190,,0.564%,0.000%,5640,,23063.0,684565.0,Europe,0.6845651528643515,0.6845651528643515,High Test Rate
